Key,Name,Tags,Ideas
google/gsoc2014/lcdm,Laboratory for Cosmological Data Mining,"Cosmology, Astrophysics, Data Mining, Machine Learning, Cloud Computing, Computer Vision, Image Processing",http://lcdm.astro.illinois.edu/ugprojects.html
google/gsoc2014/leap,LEAP Encryption Access Project,"OpenPGP, email, OpenVPN, Python, Ruby, Android",https://leap.se/en/docs/get-involved/project-ideas
google/gsoc2014/lf,The Linux Foundation,"kernel, lsb, web, gui, cpd, standards, wireless, printing, usability, openprinting, llvm, llvmlinux",https://www.linuxfoundation.org/collaborate/workgroups/gsoc/google-summer-code-2014
google/gsoc2014/lg,Liquid Galaxy Project,"google earth, immersive, 3d, virtual reality, html5, google maps, KML, geospatial, GIS, 3d graphics, panoramic, visualization, game engines, linux, android, kinect, leap motion",http://code.google.com/p/liquid-galaxy/wiki/GSoC2014Ideas
google/gsoc2014/libreoffice,LibreOffice,"office, c++, word processor, spreadsheet, presentation, database, drawing, android, ios",https://wiki.documentfoundation.org/Development/Gsoc/Ideas
google/gsoc2014/linaro,Linaro,"Linux, ARM, Open, Networking, Enterprise, Toolchain, Graphics, Multimedia, Android",https://wiki.linaro.org/SummerOfCode2014/ProjectIdeas
google/gsoc2014/llvm,LLVM Compiler Infrastructure,"llvm, clang, compiler, backend, optimization",http://llvm.org/OpenProjects.html
google/gsoc2014/lmonade,lmonade: scientific software distribution,"math, mathematics, algebra, science, scientific software, distribution, image processing, computer vision, algebra, c++, cpp, python, shell, sh, bash, scripting, lmonade, flint, ilastik, vigra, fricas, singular, polybori, aldor",http://wiki.lmona.de/get_involved/gsoc
google/gsoc2014/lttng,Linux Trace Toolkit next generation project (LTTng),"tracing, linux, android, arm, c, c++, python, kernel internals",http://bugs.lttng.org/projects/lttng/wiki/Google_Summer_of_Code_2014
google/gsoc2014/lyx,LyX – The Document Processor ,"document processor, word processor, LaTeX, GUI, Qt",http://wiki.lyx.org/GSoC/GSoCProjectIdeasFor2014
google/gsoc2014/m_lab,Measurement Lab (M-Lab),"open data, measurement, networking, transparancy",http://www.measurementlab.net/page/gsoc_2014
google/gsoc2014/macports,The MacPorts Project,"MacPorts, Mac, OS X, Mac OS X, C, Tcl, dependencies, SAT, SAT-solving, theory, theoretical computer science, Xcode, Objective-C, Apple, LD_PRELOAD, sandbox, optimization, qt, ports, BSD, package, package management",https://trac.macports.org/wiki/SummerOfCode
google/gsoc2014/mariadb,MariaDB,"mariadb, mysql, database, sql",https://mariadb.com/kb/en/google-summer-of-code-2014/
google/gsoc2014/marsoc,Italian Mars Society ,"Python, Pytango, terrestrial Mars analogs, scientific-computing, Command, Control and Communication, Virtual Reality",http://www.erasproject.org/index.php?option=com_content&view=article&id=12&Itemid=104
google/gsoc2014/amahi,Amahi,"home server, streaming, golang, ruby, ror, python, SPDY",https://wiki.amahi.org/index.php/Google_Summer_of_Code_Ideas
google/gsoc2014/metabrainz,MetaBrainz Foundation Inc.,"music, metadata, linux, sql, perl, python, id3",http://wiki.musicbrainz.org/Development/Summer_of_Code/2014
google/gsoc2014/mifos,Mifos Initiative,"mifos, microfinance, financial inclusion, Africa, mobile banking, java, AngularJS, India, m-pesa, ICT4D, SocEnt, poverty, RESTful, MySQL, Spring, Pentaho, Android, grameen, microcredit, banking, financial services, m4d, ",http://mifosforge.jira.com/wiki/display/RES/Google+Summer+of+Code+2014+Ideas
google/gsoc2014/mixxx,Mixxx DJ Software,"dj, audio, music, qt, c++, realtime",http://mixxx.org/wiki/doku.php/gsoc2014ideas
google/gsoc2014/mlpack,mlpack: scalable C++ machine learning library,"c++, machine learning, dual-tree algorithms, scalability",http://www.mlpack.org/trac/wiki/SummerOfCodeIdeas
google/gsoc2014/monkey,Monkey Project,"C, Linux, Raspberry, HTTP, SPDY, Websocket, Caching, WebServices",http://monkey-project.com/gsoc2014/ideas
google/gsoc2014/mono,Mono Project,"C#, C, C++, Mono, VM, GC, Runtime, MonoDevelop, GTK, OSX, Linux, Windows",http://www.mono-project.com/StudentProjects
google/gsoc2014/moodle,Moodle,"Education, learning, teaching, primary, secondary, tertiary, university, LMS, CMS, VLE, LP php",http://docs.moodle.org/dev/Projects_for_new_developers
google/gsoc2014/mozilla,Mozilla,"mozilla, firefox, thunderbird, c++, python, perl, javascript, html, css, xul, web, calendar, instantbird, im, documentation, audio, rust, llvm, node, design, ux, xpcom",https://wiki.mozilla.org/Community:SummerOfCode14
google/gsoc2014/musescore,MuseScore,"sheet music, musicxml, midi, music notation, Qt, C++, QML",http://musescore.org/en/developers-handbook/google-summer-code/ideas-2014
google/gsoc2014/n52,52°North Initiative for Geospatial Open Source Software GmbH,"geo, geospatial, java, gis, spatiotemporal, R, R-project, earth observation, geoprocessing, spatial data, geostatistics, sensor web, search, mobile, eventing, performance, database",https://wiki.52north.org/bin/view/Projects/GSoC2014ProjectIdeas
google/gsoc2014/netfilter,Netfilter Project,"linux, networking, firewall, security, packet classification",http://1984.lsi.us.es/~pablo/nf-ideas-2014.txt
google/gsoc2014/netsurf,NetSurf,"Web Browser, C, HTML, CSS, DOM",http://www.netsurf-browser.org/developers/gsoc/2014ideas
google/gsoc2014/nmap,Nmap Security Scanner,"security, networking, network, ipv6, lua, c++, c, python, gui, linux, windows, apple, mac os x, packets, hacking, nmap, cryptography, crypto",http://nmap.org/soc/
google/gsoc2014/nrnb,National Resource for Network Biology (NRNB),"biology, systems biology, network biology, networks, pathways, Java, JavaScript, PHP, MediaWiki, graph database, biomedical, chemistry, cytoscape, wikipathways, pathvisio, cytoscapejs, pathvisiojs",http://nrnb.org/gsoc/index.html#ideas-tab
google/gsoc2014/ns3,The ns-3 Network Simulator Project,"ns3, network simulation, emulation, C, C++, Python",https://www.nsnam.org/wiki/index.php/GSOC2014Projects
google/gsoc2014/obf,Open Bioinformatics Foundation,"obf, bioinformatics, biology, science, bioperl, biopython, bioruby, biojava, biosql, biolib, emboss",http://www.open-bio.org/wiki/Google_Summer_of_Code_2014_Ideas
google/gsoc2014/octave,GNU Octave,"c++, mathematics, math, numerical, matlab, mercurial, scientific, computing",http://wiki.octave.org/Summer_of_Code_Project_Ideas
google/gsoc2014/oerf,Open Education Resource Foundation,"education, open, wiki, oeru",http://WikiEducator.org/WikiEducator:Software_Projects
google/gsoc2014/ogdf,OGDF - Open Graph Drawing Framework,"graph drawing, graph algorithms, algorithms, data structures, visualization, C++, Python, Java",http://www.ogdf.net/doku.php/gsoc2014-ideas
google/gsoc2014/ompl,Open Motion Planning Library,"robotics, motion planning",http://kavrakilab.org/GSoC2014.html
google/gsoc2014/openbsdfoundation,The OpenBSD Foundation,"OpenBSD, OpenSSH, OpenCVS, OpenSMTP, OpenBGPD",http://www.openbsdfoundation.org/gsoc2014.html
google/gsoc2014/opencog,The OpenCog Foundation,"Artificial Intelligence, AI, C++, Python, Machine Leaning, NLP",http://wiki.opencog.org/w/Ideas
google/gsoc2014/opencv,Open Source Computer Vision Library (OpenCV),"computer vision, machine learning, AI, perception, learning",http://code.opencv.org/projects/opencv/wiki/GSoC_2014
google/gsoc2014/openlighting,Open Lighting Project,"C++, lighting, Python, DMX512, RDM, control-systems, network",http://www.opendmx.net/index.php/OLA_SOC_Ideas_Page
google/gsoc2014/openmrs,OpenMRS,"medical_records, health, clinics, ehealth, hospitals, hfoss, healthcare, emr, ehr, hl7, mhealth, africa, developing_world, poverty, global_health, dojo, spring, api, mysql, internationalization, l8n, mrs, i10n, openmrs, hr, human_resources, xml, hibernate, localization, search, localisation, statistics, java, maven, ict4d, phr, tomcat, database, internationalisation, html5, node, nodejs, ldap, express, groovy",http://go.openmrs.org/soc2014
google/gsoc2014/openpgp_keychain,OpenKeychain (OpenPGP for Android),"android, java, pgp, openpgp, gpg, security, encryption, snowden",https://github.com/openpgp-keychain/openpgp-keychain/wiki/Google-Summer-of-Code
google/gsoc2014/openstack,The OpenStack Foundation,"openstack, cloud, iaas",https://wiki.openstack.org/wiki/GSoC2014
google/gsoc2014/opensuse,openSUSE,"linux, obs, build-service, kernel, osem, git, cloud, kiwi, packaging, mate, virtualization, ruby",https://en.opensuse.org/openSUSE:GSOC_ideas
google/gsoc2014/osgeo,OSGeo - Open Source Geospatial Foundation,"postgres, c, gis, live-disc, algorithm, java, c#, graph, javascript, mapping, maps, c++, ajax, geospatial, mysql, http, php, geo, mssql, 3d, osm, openstreetmap, cartography, science",http://wiki.osgeo.org/wiki/Google_Summer_of_Code_2014_Ideas
google/gsoc2014/ospo,Open Source Programs Office,"research, google, open source programs office",http://www.google-melange.com/gsoc/document/show/gsoc_program/google/gsoc2014/help_page#16._What_if_there_is_no_organization
google/gsoc2014/osrf,Open Source Robotics Foundation,"Robotics, Gazebo, ROS, CloudSim",http://wiki.osrfoundation.org/gsoc14
google/gsoc2014/osuosl,Oregon State University Open Source Lab (OSUOSL),"virtualization, kvm, xen, django, osuosl, ganeti, ganeti web manager, gwm, python, bash",http://osuosl.org/gsoc/2014
google/gsoc2014/osv,OSv,"kernel, cloud, virtualization",https://github.com/cloudius-systems/osv/wiki/Google-Summer-of-Code-2014
google/gsoc2014/ovirt,oVirt,"ovirt, cloud, virtualization, iaas, kvm, libivrt, datacenter, private cloud, python, java, jboss, wildfly, postgres",http://www.ovirt.org/Summer_of_Code
google/gsoc2014/owasp,OWASP Foundation,"appsec, security, application security, sdlc, secure devlopment",https://www.owasp.org/index.php/GSoC2014_Ideas
google/gsoc2014/pcl,Point Cloud Library (PCL),"point cloud, image, computer vision, vision, machine vision, computer graphics, registration, segmentation, camera, 3D camera, kinect, xtion",http://www.pointclouds.org/gsoc/
google/gsoc2014/phpbb,phpBB Forum Software,"forum, bulletin, board, php, webdesign. community, web",https://wiki.phpbb.com/GSoC/2014/Ideas
google/gsoc2014/phpmyadmin,phpMyAdmin,"mysql, php, admin, javascript, jquery",http://wiki.phpmyadmin.net/pma/GSoC_2014_Ideas_List
google/gsoc2014/plan9,Plan 9 from Bell Labs,"9p, os, operating system, C, limbo, styx, distributed computing, network computing",http://www.plan9.bell-labs.com/wiki/plan9/gsoc-2014-ideas/index.html
google/gsoc2014/plone,Plone Foundation,"cms, python, web",http://plone.org/events/summer-of-code/2014
google/gsoc2014/portland_state,Portland State University,"university, new projects, individual projects",http://summer.cs.pdx.edu/ideas
google/gsoc2014/postgresql,PostgreSQL Project,"database, postgres, postgresql, C, C++, PHP, Perl, Python, Java, SQL",http://www.postgresql.org/developer/summerofcode
google/gsoc2014/prismmodelchecker,PRISM Model Checker,"scientific, verification, model checking, probabilistic models, java",http://www.prismmodelchecker.org/gsoc/
google/gsoc2014/privly,The Privly Foundation,"privacy, security, cryptography, browser extensions, native client, javascript, c++, rails",https://github.com/privly/privly-organization/wiki/Ideas
google/gsoc2014/processing,The Processing Foundation,"java, javascript, animation, images, graphics, education, beginner",https://github.com/processing/processing/wiki/Project-List
google/gsoc2014/publiclaboratory,Public Laboratory for Open Technology and Science,"geo, gis, open-source, environment, infrared, spectroscopy, map, maps, ruby-on-rails, java, canvass-element, android, ruby, javascript, imagemagick, rmagick",http://publiclaboratory.org/wiki/gsoc-ideas
google/gsoc2014/python,Python Software Foundation,python,http://wiki.python.org/moin/SummerOfCode/2014
google/gsoc2014/qemu,QEMU,"emulator, emulation, virtualization, lowlevel, os, bootloader, compiler, kernel, kvm, xen, c",http://qemu-project.org/Google_Summer_of_Code_2014
google/gsoc2014/rails,Ruby on Rails,"ruby, web",https://github.com/rails/gsoc2014/wiki/Ideas
google/gsoc2014/raxa,Raxa,"health, mobile, EMR, India",https://raxaemr.atlassian.net/wiki/display/RAXAJSS/GSoC+2014+Ideas+Page
google/gsoc2014/routeflow,RouteFlow,"routing, virtualization, cloud, networking, sdn, openflow",https://sites.google.com/site/routeflow/updates/gsoc-ideas
google/gsoc2014/rproject,R Project for Statistical Computing,,http://rwiki.sciviews.org/doku.php?id=developers:projects:gsoc2014
google/gsoc2014/rtems,RTEMS Project,"RTOS, real time, real-time, operating system, C, POSIX, embedded, ARM, space, control, deadline, SMP, multicore",http://www.rtems.org/wiki/index.php/Open_Projects
google/gsoc2014/sagemath,Sage Mathematical Software System,"mathematics, math, python, cython, c, cpp, html, javascript, android, iOS",https://docs.google.com/document/d/15v7lXZR1U4H2pT21d2fyPduYGb74JAFjkXJ6CWYmYfw/pub
google/gsoc2014/sahana,Sahana Software Foundation,"Sahana, Python, PHP, Disaster, Emergency, Response, Humanitarian",https://docs.google.com/a/sahanafoundation.org/document/d/15GzwvZRI8SlYRUYzuqkPsjnLNMiBLtT6KqXgNR_GpAw/edit
google/gsoc2014/samba,Samba,"C, SMB, CIFS, kernel",http://wiki.samba.org/index.php/SoC/Ideas
google/gsoc2014/sbcl,Steel Bank Common Lisp,"Lisp, compilation, interpretation, garbage collection, object-orientation",http://www.sbcl.org/gsoc2014/ideas/
google/gsoc2014/scaffoldhunter,Scaffold Hunter,"Visual Analytics, Information Visualization, Graph Drawing, Cheminformatics, Medical Image Retrieval, Java",http://scaffoldhunter.sourceforge.net/wiki/doku.php?id=project_ideas
google/gsoc2014/sciruby,Ruby Science Foundation (SciRuby),"science, c++, ruby, c, statistics, linear algebra, data mining, engineering",https://github.com/SciRuby/sciruby/wiki/Google-Summer-of-Code-2014-Ideas
